"Player"	"Total Score (points)"	"Correct Answers"	"Incorrect Answers"	"Groupe"	"Average_time"
"1"	27648	29	1	"2"	16,0353759352301
"2"	25384	27	3	"2"	17,9178854753623
"3"	24273	27	3	"2"	29,8156522291365
"4"	22640	24	6	"2"	12,3947193743031
"5"	21866	26	4	"3"	8,66403306383507
"6"	20861	24	6	"2"	7,53312454782466
"7"	20814	26	4	"1"	18,3061895573584
"8"	20557	25	5	"3"	8,37785014227196
"9"	20521	24	6	"3"	14,6196376058705
"10"	20323	23	7	"2"	13,0144738055342
"11"	19999	25	5	"1"	19,6184134148575
"12"	19643	24	6	"3"	28,4223588891017
"13"	19593	23	7	"1"	6,95120473765289
"14"	19552	23	7	"1"	5,61705290089585
"15"	18266	22	8	"1"	14,2291684413773
"16"	18138	21	9	"1"	17,5343000977299
"17"	18072	21	9	"1"	19,2225841562665
"18"	17956	21	9	"3"	11,9219044336159
"19"	17915	22	8	"2"	15,7836016848306
"20"	17540	20	10	"4"	18,647474698139
"21"	17391	20	10	"3"	9,01835093864498
"22"	17275	20	10	"3"	10,6142549385072
"23"	17234	20	10	"3"	13,7146542487411
"24"	17095	21	9	"2"	14,4634613573612
"25"	17026	20	10	"1"	24,7246057064344
"26"	17024	21	9	"3"	14,2891430529291
"27"	16949	20	10	"1"	8,91317924052225
"28"	16306	19	11	"1"	9,58421001191821
"29"	16184	20	10	"2"	18,8903341084655
"30"	16163	18	12	"2"	20,2365633211644
"31"	15499	17	13	"4"	17,3707269206294
"32"	15326	19	11	"3"	15,0153698680032
"33"	14692	19	11	"2"	5,44715106222
"34"	13973	17	13	"1"	15,4489755988114
"35"	2545	3	27	"4"	11,9962720462436
