"";"Player";"Total Score (points)";"Correct Answers";"Incorrect Answers";"Groupe";"Average_time"
"1";"1";14713;17;3;3;20,0717127664629
"2";"2";14697;17;3;4;17,2896811212109
"3";"3";14548;17;3;1;17,4127732945906
"4";"4";14548;17;3;2;12,2054821332727
"5";"5";14365;17;3;2;9,81449654247061
"6";"6";14087;16;4;4;11,068523660213
"7";"7";14010;17;3;4;12,638501166177
"8";"8";13927;16;4;1;11,4262705315844
"9";"9";13846;16;4;1;16,2786592000613
"10";"10";13546;17;3;1;13,163807130946
"11";"11";13228;15;5;2;9,3962730176899
"12";"12";13203;15;5;1;11,7455082438866
"13";"13";13141;15;5;4;14,2116096381693
"14";"14";13138;15;5;2;12,9200488214738
"15";"15";13047;15;5;3;8,32266148048431
"16";"16";12982;16;4;1;2,08969695679065
"17";"17";12486;14;6;3;15,1095606045512
"18";"18";12432;15;5;1;21,4853268260633
"19";"19";12273;14;6;4;26,861808580899
"20";"20";12233;14;6;2;5,12998785268612
"21";"21";12097;14;6;2;10,3833295471278
"22";"22";11971;14;6;3;19,6205645320492
"23";"23";11782;15;5;1;15,5210155309873
"24";"24";11644;13;7;2;13,7175409899156
"25";"25";11603;14;6;4;18,2377320464938
"26";"26";11588;14;6;1;19,2983754584135
"27";"27";11532;13;7;1;17,066104864246
"28";"28";11274;13;7;3;9,01962102951838
"29";"29";11230;14;6;4;23,4955705177371
"30";"30";11111;13;7;4;15,4134802786336
"31";"31";10922;12;8;2;32,6831116970806
"32";"32";10776;13;7;4;15,2411898928262
"33";"33";10170;13;7;3;19,0324812818333
"34";"34";10006;12;8;2;17,3867513984313
"35";"35";9992;12;8;2;12,8686188258589
"36";"36";9189;11;9;2;22,0141010992547
"37";"37";8209;11;9;2;17,238683020734
"38";"38";8075;10;10;4;10,2832184988385
"39";"39";8042;10;10;4;10,8407891339711
"40";"40";8036;10;10;3;8,17827188929532
"41";"41";6759;9;11;3;8,81060371445011
"42";"42";6737;9;11;1;15,8037400337879
"43";"43";6725;9;11;2;9,42541957044891
"44";"44";5932;10;10;3;19,0562080564815
"45";"45";5517;7;13;3;13,5705789837392
"46";"46";4316;5;15;1;17,8100092208465
"47";"47";3005;4;16;4;11,3565483608373
"48";"48";0;0;20;2;5,24639182125151
"49";"49";0;0;20;4;16,8631386552948
"50";"50";0;0;20;4;15,3338685405249
