code	product_name_fr	generic_name_fr	quantity	packaging	brands	categories	allergens	energy.kcal_value	fat_value	saturated.fat_value	sugars_value	proteins_value	salt_value	off.nutriscore_score	Sandwich
2000000133442	Master Cantal	Burger au cantal	1	NA	Burger King	Sandwichs, Hamburgers	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000036043	Chili Cheese Nuggets	NA	NA	NA	Burger King	Produits panés	NA	531	32	11	1,8	16	2,5	26	Non
2000000028596	Whopper	NA	273 g	Papier	Burger King	Sandwichs, Hamburgers	Céleri, Œufs, Gluten, Lait, Graines de sésame	624	35	9,4	12	28	2,5	28	Oui
2000000132285	Original Veggie King	Burger végétarien avec haché végétal	1 sandwich	Papier	Burger King	Sandwichs, Hamburgers végétariens	Œufs, Gluten, Lait, Moutarde, Soja, Anhydride sulfureux et sulfites	706	44	13	13	28	3,4	30	Oui
2000000031103	BBQ DIP Burger King	Sauce barbecue	25 ml	Plastique, Barquette	Burger King	en:groceries, Sauces, Sauces barbecue, Trempettes	NA	180	3,2	0,4	35,2	0,8	2,2	18	Non
2000000036046	Onion Rings (petite)	NA	89 g	Papier, Sachet	Burger King	Aliments et boissons à base de végétaux, Aliments d'origine végétale, Surgelés, Aliments à base de plantes surgelés, Produits panés, Mélanges d'aliments à base de plantes surgelés, Rondelles d'oignon panées, Beignets d'oignons	NA	299	13,8	3,5	4,8	5	0,9	5	Non
2000000041830	Curry Mango Sauce	NA	25 g (23 ml)	Plastique, Barquette	Burger King	en:groceries, Sauces, Sauces au curry	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000116058	PETIT TEXAS BACON	NA	117.5 g	Boîte	Burger King	Sandwichs, Hamburgers, Hamburgers de fast food	Œufs, Gluten, Lait, Moutarde, Graines de sésame	382	21,3	7,2	5	18,5	1,6	16	Oui
2000000036026	Long Chicken	Sandwich chaud au poulet pané	212 g	Boîte, Carton	Burger King	Sandwichs, Hamburgers, Burger au poulet	Graines de sésame, Pain, Mayonnaise	557	31	3,2	4,9	22,4	2,9	NA	Oui
2000000036015	Big King	NA	210 g	Papier	Burger King	Sandwichs, Hamburgers	Lait	586	35	12,7	7	30,8	2,4	28	Oui
2000000041829	Double Whopper Cheese	NA	385 g	Papier	Burger King	Sandwichs, Cheeseburgers, Hamburgers	Céleri, Œufs, Gluten, Lait, Graines de sésame	256	16,4	5,4	3,8	13,9	0,8	11	Oui
2000000036031	Frites (moyenne)	NA	116 g	Carton	Burger King	Chips et frites, Frites	NA	266	11,1	3,6	0,2	3,3	0,7	7	Non
2000000031101	Ketchup Burger King	Ketchup	20 g	Plastique, Sachet	Burger King	en:groceries, Sauces, Sauces tomate, Ketchup	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000116063	DOUBLE CHEESE BACON XXL	NA	343 g	NA	Burger King	Sandwichs, Hamburgers, Hamburgers de fast food	Céleri, Gluten, Lait, Moutarde, Graines de sésame	274	16,1	7,67	3,44	17,7	1,4	16	Oui
2000000036057	Salade Delight	NA	NA	NA	Burger King	NA	NA	222	13	4,5	2,7	8	0,925	NA	Non
2000000036022	Bacon Cheeseburger	NA	NA	NA	Burger King	Sandwichs, Cheeseburgers	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000116062	BUFFALO CHICKEN FRIES	NA	91 g	NA	Burger King	Chips et frites	Céleri, Gluten	268	15	1,8	0,2	16,2	2	13	Non
2000000116061	WRAP CHICKEN LOUISIANE	NA	266.4 g	NA	Burger King	Sandwichs, Wraps	Céleri, Œufs, Gluten, Lait, Moutarde	698	39,3	11,8	7,2	27,9	3,8	13	Oui
2000000116059	CROUSTY CHEESE	NA	108 g	NA	Burger King	NA	Gluten, Lait	395	27	0,4	0,8	13,3	2,8	NA	Non
2000000116057	CHICKEN LOUISIANE STEAKHOUSE	NA	304.4 g	NA	Burger King	Sandwichs, Hamburgers, Burger au poulet, Hamburgers de fast food	Céleri, Œufs, Gluten, Lait, Moutarde	825	47,2	12	10,8	36,7	5,2	13	Oui
2000000036037	King Wings (moyenne)	NA	NA	NA	Burger King	Viandes, Volailles, Poulets, Ailes de poulet	NA	382	23,6	7,1	0,9	37,5	3,4	14	Non
5410556197904	Huile de friture	NA	15l	NA	Burger King	Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Huiles	NA	828	92	28	0	0	0	14	Non
2000000036017	X-Tra Long Chili Cheese	NA	NA	NA	Burger King	Sandwichs, Cheeseburgers	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000036020	Double Chili Cheese Burger	NA	NA	NA	Burger King	Sandwichs, Cheeseburgers	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000036021	Chili Cheese Burger	NA	NA	NA	Burger King	Sandwichs, Cheeseburgers	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000063556	King Deal Double BBQ Burger	NA	NA	NA	Burger King	Sandwiches, Hamburgers	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000036025	Whopper Junior	NA	141 g	NA	Burger King	Sandwichs, Hamburgers	NA	252	15,4	3	3,8	9,2	3	15	Oui
2000000036023	Cheeseburger	NA	115 g	NA	Burger King	Sandwichs, Cheeseburgers	NA	282	13,1	5,1	0,2	14,4	1,4	12	Oui
2000000036014	Double WHOPPER	NA	NA	NA	Burger King	Sandwichs, Hamburgers	NA	256	16,4	5,4	3,8	13,9	0,8	11	Oui
2000000036018	Double Steakhouse	NA	NA	NA	Burger King	NA	NA	297	20,1	8,6	3,2	15,5	1	NA	Non
2000000036032	Frites (grande)	NA	NA	NA	Burger King	Chips et frites, Frites	NA	251	10	3,8	0,2	3,4	0,9	7	Non
2000000036029	Chicken Nugget Burger	NA	NA	NA	Burger King	Sandwichs, Burger au poulet	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000036019	Double Cheeseburger	NA	NA	NA	Burger King	Sandwichs, Cheeseburgers	NA	NA	NA	NA	NA	NA	NA	NA	Oui
2000000036051	Brownie chaud	NA	NA	NA	Burger King	Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat, Brownies	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000036053	Donut	NA	NA	NA	Burger King	Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Donuts	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000036041	King Nuggets (grande)	NA	NA	NA	Burger King	Viandes, Préparations de viande, Volailles, Produits panés, Poulets, Volailles cuites, Préparations au poulet, Poulets cuisinés, Nuggets de volaille, Poulets panés, Nuggets de poulet	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000036040	King Nuggets (moyenne)	NA	NA	NA	Burger King	Viandes, Préparations de viande, Volailles, Produits panés, Poulets, Volailles cuites, Préparations au poulet, Poulets cuisinés, Nuggets de volaille, Poulets panés, Nuggets de poulet	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000036039	King Nuggets (petite)	NA	NA	NA	Burger King	Viandes, Préparations de viande, Volailles, Produits panés, Poulets, Volailles cuites, Préparations au poulet, Poulets cuisinés, Nuggets de volaille, Poulets panés, Nuggets de poulet	NA	NA	NA	NA	NA	NA	NA	NA	Non
